Search term,Currency,Clicks,Avg. CPC,Avg. Cost,Conversions,CTR,Impressions,Conv. value,Conv. rate,Avg. position
health mate 3 person infrared sauna,USD,5,2.69,2.69,0,83.33%,6,0,0.00%,2.67
sauna release form,USD,1,4.05,4.05,0,100.00%,1,0,0.00%,1
near infrared sauna for 1 person,USD,1,2.61,2.61,0,100.00%,1,0,0.00%,3
tussan saunas,USD,1,3.52,3.52,0,100.00%,1,0,0.00%,1
saunas for sale in twin cities,USD,1,2.39,2.39,0,100.00%,1,0,0.00%,2
sauna suntech,USD,1,4.2,4.2,0,100.00%,1,0,0.00%,1
3 person sauna 3 person all saunas,USD,1,2.82,2.82,0,16.67%,6,0,0.00%,1
sauna and hot tub kit,USD,1,0.91,0.91,0,20.00%,5,0,0.00%,0
home sauna images,USD,2,3.18,3.18,0,13.33%,15,0,0.00%,0.07
sunlight sauna is 3 2015 model,USD,1,1.94,1.94,0,100.00%,1,0,0.00%,4
portable sauna wood,USD,1,1.71,1.71,0,50.00%,2,0,0.00%,1.5
the 10 best saunas,USD,1,3.1,3.1,0,100.00%,1,0,0.00%,1
indoor sauna requirments for ca,USD,1,5.11,5.11,0,100.00%,1,0,0.00%,1
cost of in home sauna,USD,15,1.88,1.88,0,5.30%,283,0,0.00%,0.25
4 man celebration sauna,USD,1,2.71,2.71,0,100.00%,1,0,0.00%,2
sauna worce3ster,USD,1,21.02,21.02,0,100.00%,1,0,0.00%,1
radiant saunas salem 1 person far infrared sauna,USD,1,4.03,4.03,0,33.33%,3,0,0.00%,2.33
infared saunas f or sale oklahoma,USD,1,3.33,3.33,0,50.00%,2,0,0.00%,2
far infrared sauna idaho falls,USD,1,1.8,1.8,0,100.00%,1,0,0.00%,2
personal infrared sauna rooms,USD,1,2.79,2.79,0,50.00%,2,0,0.00%,2
alternatives to infrared sauna at home,USD,1,2.47,2.47,0,100.00%,1,0,0.00%,1
golden designs sauna parts,USD,1,1.11,1.11,0,1.96%,51,0,0.00%,0
infared sauna self assemble,USD,1,3.9,3.9,0,100.00%,1,0,0.00%,1
sauana purse,USD,1,1.85,1.85,0,9.09%,11,0,0.00%,0
outdoor spas and sauna,USD,1,0.8,0.8,0,5.00%,20,0,0.00%,0
sauna for sale jacksonville florida,USD,1,2.62,2.62,0,100.00%,1,0,0.00%,2
